session,final_neurons,keep,delete,motion
2tones\AVG5x-TSeries-093025-bla12-660um-23z-000,21,21,158,
2tones\AVG5x-TSeries-093025-bla16-319um-36z-000,31,31,36,
2tones\AVG5x-TSeries-093025-bla21-313um-38z-000,50,50,48,
2tones\AVG5x-TSeries-093025-bla21-313um-38z-000\_bootstrap_validate,397,,,
2tones\AVG5x-TSeries-093025-bla8-765um-23z-000,33,33,102,
2tones\AVG5x-TSeries-100125-bla12-639um-23z-000,45,45,100,
2tones\AVG5x-TSeries-100125-bla12-639um-23z-000\_bootstrap_validate,501,,,
2tones\AVG5x-TSeries-100125-bla16-345um-36z-000,20,20,68,
2tones\AVG5x-TSeries-100125-bla21-327um-38z-000,30,30,33,
2tones\AVG5x-TSeries-100125-bla8-735um-23z-000,37,37,75,
2tones\AVG5x-TSeries-100925-bla12-775um-23z-000,33,33,112,
2tones\AVG5x-TSeries-100925-bla16-270um-36z-000,20,20,90,
2tones\AVG5x-TSeries-100925-bla21-266um-38z-000,6,6,74,
2tones\AVG5x-TSeries-100925-bla8-685um-23z-000,43,43,114,
2tones\AVG5x-TSeries-101025-bla12-635um-23z-000,59,59,94,
2tones\AVG5x-TSeries-101025-bla16-242um-36z-000,11,11,163,
2tones\AVG5x-TSeries-101025-bla21-310um-38z-000,20,20,46,
2tones\AVG5x-TSeries-101025-bla8-725um-23z-000,54,54,156,
2tones\AVG5x-TSeries-101425-bla16-276um-36z-000,13,13,100,
2tones\AVG5x-TSeries-101525-bla12-660um-23z-000,199,,,
2tones\AVG5x-TSeries-101525-bla16-278um-36z-000,128,,,
2tones\AVG5x-TSeries-101525-bla8-774um-23z-000,211,,,
2tones\AVG5x-TSeries-101625-bla12-660um-23z-001,52,52,109,
2tones\AVG5x-TSeries-101625-bla16-298um-36z-000,82,,,
2tones\AVG5x-TSeries-101625-bla8-723um-23z-000,236,,,
2tones\AVG5x-TSeries-101725-bla12-667um-23z-000,41,41,118,
2tones\AVG5x-TSeries-101725-bla16-283um-36z-000,109,,,
2tones\AVG5x-TSeries-101725-bla8-707um-23z-000,226,,,
2tones\AVG5x-TSeries-102125-bla12-682um-23z-000,50,50,85,
2tones\AVG5x-TSeries-102125-bla8-777um-23z-000,200,,,
2tones\AVG5x-TSeries-102225-bla12-643um-23z-000,42,41,109,
2tones\AVG5x-TSeries-102225-bla8-734um-23z-000,185,,,
2tones\AVG5x-TSeries-102325-bla12-716um-23z-000,36,36,151,
2tones\AVG5x-TSeries-102325-bla8-731um-23z-000,292,,,
3odor\AVG5x-TSeries-02212025-bla2-695um-27z-000,14,12,707,
3odor\AVG5x-TSeries-02212025-bla3-667um-26z-000,69,40,280,
3odor\AVG5x-TSeries-02212025-bla4-751um-28z-000,16,10,302,
3odor\AVG5x-TSeries-02212025-bla5-527um-25z-000,38,19,133,
3odor\AVG5x-TSeries-02212025-bla6-734um-3z-000,13,3,259,
3odor\AVG5x-TSeries-022326-bla8-655um-25z-000,5,1,232,
3odor\AVG5x-TSeries-022426-bla8-666um-25z-000,2,1,93,
3odor\AVG5x-TSeries-022525-bla2-681um-27z-000,323,,,
3odor\AVG5x-TSeries-022525-bla3-665um-26z-000,29,24,365,
3odor\AVG5x-TSeries-022525-bla4-755um-28z-000,16,7,325,
3odor\AVG5x-TSeries-022525-bla5-512um-25z-000,56,30,142,
3odor\AVG5x-TSeries-022525-bla6-730um-3z-000,6,2,292,
3odor\AVG5x-TSeries-02262025-bla2-662um-27z-000,15,15,650,
3odor\AVG5x-TSeries-02262025-bla3-664um-26z-000,20,11,370,
3odor\AVG5x-TSeries-02262025-bla4-724um-28z-000,12,7,304,
3odor\AVG5x-TSeries-02262025-bla5-527um-25z-000,71,43,119,
3odor\AVG5x-TSeries-02262025-bla6-732um-3z-000,12,4,227,
