session,final_neurons,keep,delete,motion
2tones\AVG5x-TSeries-100925-pnb88-153um-33z-000,15,15,29,
2tones\AVG5x-TSeries-101025-pnb88-120um-35z-000,7,7,36,
2tones\AVG5x-TSeries-101325-pnb88-121um-22z-000,22,22,20,
2tones\AVG5x-TSeries-101425-pnb88-115um-35z-000,19,19,15,
2tones\AVG5x-TSeries-101525-pnb88-122um-35z-000,6,6,27,
2tones\AVG5x-TSeries-101625-pnb88-109um-35z-000,2,2,27,
2tones\AVG5x-TSeries-101725-pnb88-174um-35z-000,4,4,31,
3odor\AVG5x-TSeries-022326-pnb88-145um-35z-000,9,9,11,
3odor\AVG5x-TSeries-022426-pnb88-175um-35z-000,10,10,17,
3odor\AVG5x-TSeries-022726-pnb88-225um-35z-000,4,4,23,
3odor\AVG5x-TSeries-022826-pnb88-130um-35z-000,3,3,11,
3odor\AVG5x-TSeries-030126-pnb88-183um-35z-000,36,,,
3odor\AVG5x-TSeries-030226-pnb88-173um-35z-000,2,2,23,
3odor\AVG5x-TSeries-030326-pnb88-139um-35z-000,5,5,16,
3odor\AVG5x-TSeries-030426-pnb88-187um-35z-000,46,1,28,
3odor\AVG5x-TSeries-030526-pnb88-122um-36z-000,2,2,15,
3odor\AVG5x-TSeries-031226-pnb88-124um-36z-000,6,6,13,
3odor\AVG5x-TSeries-031326-pnb88-143um-36z-000,5,5,15,
3odor\AVG5x-TSeries-031726-pnb88-139um-36z-000,2,2,14,
3odor\AVG5x-TSeries-031826-pnb88-145um-36z-000,6,6,19,
4CS\AVG8x-TSeries-05172022-100-300um-33z-000,49,28,257,
4CS\AVG8x-TSeries-05172022-94-473um-3z-000,22,,,
4CS\AVG8x-TSeries-05172022-96-217um-35z-000,74,,,
4CS\AVG8x-TSeries-05182022-100-316um-33z-000,72,41,302,
4CS\AVG8x-TSeries-05182022-94-473um-3z-000,12,9,501,
4CS\AVG8x-TSeries-05182022-96-215um-35z-000,45,30,449,
4CS\AVG8x-TSeries-05212022-100-255um-45z-000,42,22,382,
4CS\AVG8x-TSeries-05212022-100-255um-45z-000\AVG8x-TSeries-05182022-d37-202um-25z-000,473,,,
4CS\AVG8x-TSeries-05212022-96-267um-35z-000,50,26,535,
